CompanyName;InstagramLink;DisplayName;;Followers;Req. Followers;Extracted Followers;KVK code;Sector (KvK);Sector 2;Sector 3;Sector 4;Sector 5;Sector 6;Sector 7;Sector 8;SBI_1;SBI_2;SBI_3;SBI_4;SBI_5;SBI_6;SBI_7;SBI_8;
blokker.nl;https://www.instagram.com/blokker/;blokker;;35000;;;33134943 0000;Groothandel in overige huishoudelijke artikelen;Winkels in huishoudelijke artikelen algemeen assortiment;Winkels in speelgoed;;;;;;464992;47597;4765;;;;;;
Hästens Beds;https://www.instagram.com/hastensbeds/;hastensbeds;;31400;;;60069104 0000;Winkels in meubels;Groothandel in huismeubilair;;;;;;;47591;46471;;;;;;;
deens.nl;https://www.instagram.com/deensnl/;deensnl;;31200;;;20132527 0000;Detailhandel via internet in huis- en tuinartikelen;Winkels in bloemen en planten, zaden en tuinbenodigdheden;;;;;;;47915;47761;;;;;;;
eijerkamp.nl;https://www.instagram.com/eijerkamp/;eijerkamp;;29400;;;08042756 0000;Winkels in meubels;Winkels in artikelen voor woninginrichting algemeen assortiment;;;;;;;47591;47593;;;;;;;
goossenswonen.nl;https://www.instagram.com/goossenswonenenslapen/;goossenswonenenslapen;;28800;;;16043861 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;;;;;;;;47593;;;;;;;;
furn.nl;https://www.instagram.com/furn.nl/;furn.nl;;25200;;;32164729 0000;Overige dienstverlenende activiteiten op het gebied van informatietechnologie;Gegevensverwerking, webhosting en aanverwante activiteiten;;;;;;;6209;6311;;;;;;;
stoermetaal.nl;https://www.instagram.com/stoermetaal/;stoermetaal;;24800;;;72193034 0000;Detailhandel via internet in huis- en tuinartikelen;Algemene metaalbewerking;;;;;;;47915;2562;;;;;;;
Street Food Club;https://www.instagram.com/thestreetfoodclub/;thestreetfoodclub;;23900;1716;3195;;Restaurants;;;;;;;;56101;;;;;;;;
roomed.nl;https://www.instagram.com/roomednl/?hl=nl;roomednl;;22100;;;33073346 0000;Overige drukkerijen n.e.g.;Drukkerijen van tijdschriften;Verhuur en lease van overige machines en werktuigen en van overige goederen (geen automaten);;;;;;18129;18122;77399;;;;;;
misterdesign.nl;https://www.instagram.com/misterdesignnl/;misterdesignnl;;20900;;;50381814 0000;Detailhandel via internet in huis- en tuinartikelen;Winkels in artikelen voor woninginrichting algemeen assortiment; lnterieur- en ruimtelijk ontwerp;Groothandel in huismeubilair;Winkels in meubels;Winkels in verlichtingsartikelen;Winkels in tweedehands goederen (geen kleding);Winkels in antiek;47915;47593;74103;46471;47591;47592;47793;47791;
dekbed-discounter.nl;https://www.instagram.com/dekbeddiscounter/;dekbeddiscounter;;18100;;;63310368 0000;Detailhandel via internet in overige non-food;Detailhandel via internet in een algemeen assortiment non-food;Groothandel in huishoudtextiel en beddengoed;Detailhandel via internet in huis- en tuinartikelen;Markthandel in textiel, kleding en schoenen;Winkels in meubels;; ;47918;47919;46412;47915;4782;47591;;;
woonexpress.nl;https://www.instagram.com/woonexpress/?hl=nl;woonexpress;;17800;;;18074439 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;Detailhandel via internet in huis- en tuinartikelen;Groothandel in huismeubilair;Winkels in meubels;Groothandel in woningtextiel en vloerbedekking;Vervaardiging van overige meubels;;;47593;47915;46471;47591;46472;3109;;;
Design bestseller;https://www.instagram.com/designbestseller/;designbestseller;;14800;;;;;;;;;;;;;;;;;;;;
Zitmaxx.nl;https://www.instagram.com/zitmaxx/;zitmaxx;;14700;;;59200359 0000;Winkels in meubels;Groothandel in huismeubilair;Vervaardiging van overige meubels;Detailhandel via internet in huis- en tuinartikelen;Winkels in artikelen voor woninginrichting algemeen assortiment;Reparatie en stoffering van meubels;;;47591;46471;3109;47915;47593;9524;;;
prontowonen.nl;https://www.instagram.com/pronto_wonen/?hl=nl;pronto_wonen;;14700;;;17158162 0000;Winkels in meubels;;;;;;;;47591;;;;;;;;
barbequeshop.nl;https://www.instagram.com/barbecueshop.nl/;barbecueshop.nl;;14100;;;09054320 0000;Winkels in audio- en videoapparatuur;Winkels in fotografische artikelen;Detailhandel via internet in consumentenelektronica;Winkels in een algemeen assortiment van wit- en bruingoed;Reparatie van consumentenelektronica (geen computers);Groothandel in audio- en video-apparatuur;Reparatie van elektrische huishoudelijke apparaten;;47431;47781;47912;47432;9521;46433;9522;;
barbequeshop.nl;https://www.instagram.com/flinders.design/;flinders.design;;13000;;;50572709 0000;Detailhandel via internet in huis- en tuinartikelen;Handelsbemiddeling gespecialiseerd in overige goederen;;;;;;;47915;4618;;;;;;;
Decathlon;https://www.instagram.com/decathlonnederland/;decathlonnederland;;12700;1614;2719;34306685 0000;Winkels in sportartikelen (geen watersport);Groothandel in sportartikelen (geen watersport);Detailhandel via internet in vrijetijdsartikelen;Groothandel in bovenkleding;Sportscholen;Organiseren van sportevenementen;;;47643;46496;47916;46421;93146;93195;;;
tredhopper.nl;https://www.instagram.com/trendhopper/;trendhopper;;12600;;;31037271 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in meubels;Winkels in vloerbedekking en gordijnen;;;;;;47593;47591;4753;;;;;;
FRED;https://www.instagram.com/restaurantfred/;restaurantfred;;12400;1609;2911;;Restaurants;;;;;;;;56101;;;;;;;;
debommelmeubelen.nl;https://www.instagram.com/debommelmeubelen/?hl=nl;debommelmeubelen;;11600;;;27276048 0001;Winkels in meubels;;;;;;;;47591;;;;;;;;
Hugh Rotterdam;https://www.instagram.com/hugh_rotterdam/;hugh_rotterdam;;10900;1581;2020;;Restaurants;;;;;;;;56101;;;;;;;;
Rum Club;https://www.instagram.com/rumclubutrecht/;rumclubutrecht;;10600;1575;3037;;Restaurants;;;;;;;;56101;;;;;;;;
Parkheuvel;https://www.instagram.com/parkheuvel/;parkheuvel;;8277;1512;2345;;Restaurants;;;;;;;;56101;;;;;;;;
Intersport;https://www.instagram.com/intersportnl/;intersportnl;;8022;1503;2238;20074112 0000;Groothandel in sportartikelen (geen watersport);Groothandel in bovenkleding;;;;;;;46496;46421;;;;;;;
Perry Sport;https://www.instagram.com/perrysport.nl/;perrysport.nl;;7964;1501;1108;65593472 0000;Winkels in sportartikelen (geen watersport);;;;;;;;47643;;;;;;;;
otto.nl;https://www.instagram.com/otto_nl/?hl=nl;otto_nl;;7869;;;18022051 0000;Detailhandel via internet in kleding en mode-artikelen;Winkels in schoenen;Groothandel in bovenkleding;Groothandel in schoenen;Winkels in bovenkleding en mode-artikelen (algemeen assortiment);Groothandel in mode-artikele;;;47914;47721;46421;46424;47713;46425;;;
praxis.nl;https://www.instagram.com/praxis_bouwmarkt/?hl=nl;praxis_bouwmarkt;;7773;;;33145849 0000;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;Winkels in doe-het-zelfartikelen;;;;;;;47528;4752;;;;;;;
gamma.nl;https://www.instagram.com/gamma_nl/?hl=nl;gamma_nl;;7369;;;31021056 0000;Bouwmarkten en andere winkels in bouwmaterialen algemeen assortiment;;;;;;;;47528;;;;;;;;
Cannibal Royale;https://www.instagram.com/cannibaleroyale/;cannibaleroyale;;7318;1476;2708;59198745 0000;Restaurants;Cafés;;;;;;;56101;5630;;;;;;;
mr & mrs Watson;https://www.instagram.com/watsonsfood/;watsonsfood;;7147;1469;2674;;Restaurants;;;;;;;;56101;;;;;;;;
Piet Klerkx;https://www.instagram.com/pietklerkx.nl/;pietklerkx.nl;;7051;;;18074437 0000;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in keukens;Winkels in meubels;Vervaardiging van keukenmeubels;Winkels gespecialiseerd in overige doe-het-zelfartikelen;;;;47593;47525;47591;3102;47527;;;;
Swiss sense;https://www.instagram.com/swisssense/;swisssense;;6849;;;17165620 0031;Winkels in meubels;;;;;;;;47591;;;;;;;;
montel.nl;https://www.instagram.com/montelwonen/?hl=nl;montelwonen;;5761;;;64710505 0000;Winkels in meubels;Winkels in vloerbedekking en gordijnen;Winkels in artikelen voor woninginrichting algemeen assortiment;Winkels in verlichtingsartikelen;;;;;47591;4753;47593;47592;;;;;
Auping;https://www.instagram.com/aupingnl/;aupingnl;;5636;;;38016729 0000;Vervaardiging van matrassen;Vervaardiging van overige meubels;;;;;;;3103;3109;;;;;;;
All 4 Running;https://www.instagram.com/all4runningstore/;all4runningstore;;4580;1317;2046;54637384 0000;Winkels in sportartikelen (geen watersport);Verhuur van sport- en recreatieartikelen;Markt- en opinieonderzoekbureaus;Winkels in bovenkleding en mode-artikelen (algemeen assortiment);Winkels in schoenen;Detailhandel via internet in vrijetijdsartikelen;Groothandel in bovenkleding;Groothandel in sportartikelen (geen watersport);47643;7721;7320;47713;47721;47916;46421;46496;
KITE;https://www.instagram.com/restaurantkite/;restaurantkite;;4503;1311;1510;;Restaurants;;;;;;;;56101;;;;;;;;
haco.nu;https://www.instagram.com/Hacowonenenslapen/;hacowonenenslapen;;4305;;;27218510 0000;Groothandel in huismeubilair;Groothandel in bedrijfsmeubels;;;;;;;46471;4665;;;;;;;
